magis_town_id,dph_town,count,rate,magis_town,geoid,namelsad
1,Abington,54,300.65,ABINGTON,2502300170,Abington town
2,Acton,35,147.48,ACTON,2501700380,Acton town
3,Acushnet,16,153.06,ACUSHNET,2500500520,Acushnet town
4,Adams,25,301.91,ADAMS,2500300555,Adams town
5,Agawam,168,587.32,AGAWAM,2501300840,Agawam Town city
6,Alford,0,0,ALFORD,2500300975,Alford town
7,Amesbury,23,138.18,AMESBURY,2500901260,Amesbury Town city
8,Amherst,11,27.16,AMHERST,2501501325,Amherst town
9,Andover,51,141.61,ANDOVER,2500901465,Andover town
104,Aquinnah,0,0,AQUINNAH,2500701585,Aquinnah town
10,Arlington,94,205.2,ARLINGTON,2501701605,Arlington town
11,Ashburnham,7,111.47,ASHBURNHAM,2502701885,Ashburnham town
12,Ashby,7,202.46,ASHBY,2501701955,Ashby town
13,Ashfield,5,-99999,ASHFIELD,2501102095,Ashfield town
14,Ashland,63,323.2,ASHLAND,2501702130,Ashland town
15,Athol,28,234.01,ATHOL,2502702480,Athol town
16,Attleboro,210,453.88,ATTLEBORO,2500502690,Attleboro city
17,Auburn,34,206.16,AUBURN,2502702760,Auburn town
18,Avon,24,547.86,AVON,2502102935,Avon town
19,Ayer,27,334.16,AYER,2501703005,Ayer town
20,Barnstable,94,209.61,BARNSTABLE,2500103690,Barnstable Town city
21,Barre,12,215.91,BARRE,2502703740,Barre town
22,Becket,10,555.42,BECKET,2500304545,Becket town
23,Bedford,81,543.76,BEDFORD,2501704615,Bedford town
24,Belchertown,25,157.01,BELCHERTOWN,2501504825,Belchertown town
25,Bellingham,33,184.6,BELLINGHAM,2502104930,Bellingham town
26,Belmont,118,432.14,BELMONT,2501705070,Belmont town
27,Berkley,17,250.73,BERKLEY,2500505280,Berkley town
28,Berlin,8,250.53,BERLIN,2502705490,Berlin town
29,Bernardston,5,-99999,BERNARDSTON,2501105560,Bernardston town
30,Beverly,150,364.37,BEVERLY,2500905595,Beverly city
31,Billerica,134,307.46,BILLERICA,2501705805,Billerica town
32,Blackstone,19,210.08,BLACKSTONE,2502706015,Blackstone town
33,Blandford,5,-99999,BLANDFORD,2501306085,Blandford town
34,Bolton,5,-99999,BOLTON,2502706365,Bolton town
35,Boston,4609,663.2,BOSTON,2502507000,Boston city
36,Bourne,83,396.75,BOURNE,2500107175,Bourne town
37,Boxborough,7,137.05,BOXBOROUGH,2501707350,Boxborough town
38,Boxford,15,194.37,BOXFORD,2500907420,Boxford town
39,Boylston,9,200.5,BOYLSTON,2502707525,Boylston town
40,Braintree,308,782.53,BRAINTREE,2502107740,Braintree Town city
41,Brewster,16,161.42,BREWSTER,2500107980,Brewster town
42,Bridgewater,103,362.08,BRIDGEWATER,2502308085,Bridgewater town
43,Brimfield,5,-99999,BRIMFIELD,2501308470,Brimfield town
44,Brockton,1202,1223.43,BROCKTON,2502309000,Brockton city
45,Brookfield,5,136.55,BROOKFIELD,2502709105,Brookfield town
46,Brookline,144,223.66,BROOKLINE,2502109175,Brookline town
47,Buckland,5,-99999,BUCKLAND,2501109595,Buckland town
48,Burlington,91,329.19,BURLINGTON,2501709840,Burlington town
49,Cambridge,471,417.61,CAMBRIDGE,2501711000,Cambridge city
