GEO_ID,NAME,S2301_C01_001E,S2301_C01_003E,,,
25001,"Barnstable County, Massachusetts",185539,10095,,,
25003,"Berkshire County, Massachusetts",106770,8453,,,
25005,"Bristol County, Massachusetts",464791,35725,,,
25009,"Essex County, Massachusetts",643072,49474,,,
25011,"Franklin County, Massachusetts",60328,3472,,,
25013,"Hampden County, Massachusetts",379992,33066,,,
25015,"Hampshire County, Massachusetts",141093,22920,,,
25017,"Middlesex County, Massachusetts",1332772,112724,,,
25021,"Norfolk County, Massachusetts",578254,42418,,,
25023,"Plymouth County, Massachusetts",424269,31151,,,
25025,"Suffolk County, Massachusetts",686553,78422,,,
25027,"Worcester County, Massachusetts",680317,55655,,,
,,,,,,55655
